person,film,role
Boris Milivojevic,"(""When I Grow Up, I'll Be a Kangaroo"", 2004)",actor
Radivoje Andric,"(""When I Grow Up, I'll Be a Kangaroo"", 2004)",director
Keerthy Suresh,"('Mahanati', 2018)",actor
Dulquer Salmaan,"('Mahanati', 2018)",actor
Samantha Ruth Prabhu,"('Mahanati', 2018)",actor
Vijay Deverakonda,"('Mahanati', 2018)",actor
Nag Ashwin,"('Mahanati', 2018)",director
Jayam Ravi,"('Thani Oruvan', 2015)",actor
Arvind Swami,"('Thani Oruvan', 2015)",actor
Nayanthara,"('Thani Oruvan', 2015)",actor
Nassar,"('Thani Oruvan', 2015)",actor
Mohan Raja,"('Thani Oruvan', 2015)",director
Dinesh,"('Visaaranai', 2015)",actor
Samuthirakani,"('Visaaranai', 2015)",actor
Anandhi,"('Visaaranai', 2015)",actor
Murugadass,"('Visaaranai', 2015)",actor
Vetrimaaran,"('Visaaranai', 2015)",director
Yuki Kaji,"('Attack on Titan: Chronicle', 2020)",actor
Yui Ishikawa,"('Attack on Titan: Chronicle', 2020)",actor
Marina Inoue,"('Attack on Titan: Chronicle', 2020)",actor
Natsuki Aikawa,"('Attack on Titan: Chronicle', 2020)",actor
Masashi Koizuka,"('Attack on Titan: Chronicle', 2020)",director
Tetsuro Araki,"('Attack on Titan: Chronicle', 2020)",director
Mircea Diaconu,"('Filantropica', 2002)",actor
Gheorghe Dinica,"('Filantropica', 2002)",actor
Mara Nicolescu,"('Filantropica', 2002)",actor
Viorica Voda,"('Filantropica', 2002)",actor
Nae Caranfil,"('Filantropica', 2002)",director
Sener Sen,"('Muhsin Bey', 1987)",actor
Ugur Yucel,"('Muhsin Bey', 1987)",actor
Sermin Hurmeric,"('Muhsin Bey', 1987)",actor
Osman Cavci,"('Muhsin Bey', 1987)",actor
Yavuz Turgul,"('Muhsin Bey', 1987)",director
Aditi Balan,"('Aruvi', 2016)",actor
Padmashri Mohammad Ali,"('Aruvi', 2016)",actor
Pradeep Anthony,"('Aruvi', 2016)",actor
Arnold,"('Aruvi', 2016)",actor
Arun Prabhu Purushothaman,"('Aruvi', 2016)",director
Brad Pitt,"('Inglourious Basterds', 2009)",actor
Diane Kruger,"('Inglourious Basterds', 2009)",actor
Eli Roth,"('Inglourious Basterds', 2009)",actor
Melanie Laurent,"('Inglourious Basterds', 2009)",actor
Quentin Tarantino,"('Inglourious Basterds', 2009)",director
Tom Cruise,"('Top Gun: Maverick', 2022)",actor
Jennifer Connelly,"('Top Gun: Maverick', 2022)",actor
Miles Teller,"('Top Gun: Maverick', 2022)",actor
Val Kilmer,"('Top Gun: Maverick', 2022)",actor
Joseph Kosinski,"('Top Gun: Maverick', 2022)",director
Pulkit Samrat,"('Fukrey 3', 2023)",actor
Varun Sharma,"('Fukrey 3', 2023)",actor
Manjot Singh,"('Fukrey 3', 2023)",actor
Richa Chadha,"('Fukrey 3', 2023)",actor
Mrighdeep Lamba,"('Fukrey 3', 2023)",director
Al Pacino,"('Heat', 1995)",actor
Robert De Niro,"('Heat', 1995)",actor
Val Kilmer,"('Heat', 1995)",actor
Jon Voight,"('Heat', 1995)",actor
Michael Mann,"('Heat', 1995)",director
Ellen Burstyn,"('Requiem for a Dream', 2000)",actor
Jared Leto,"('Requiem for a Dream', 2000)",actor
Jennifer Connelly,"('Requiem for a Dream', 2000)",actor
Marlon Wayans,"('Requiem for a Dream', 2000)",actor
Darren Aronofsky,"('Requiem for a Dream', 2000)",director
Kevin Spacey,"('American Beauty', 1999)",actor
Annette Bening,"('American Beauty', 1999)",actor
Thora Birch,"('American Beauty', 1999)",actor
Wes Bentley,"('American Beauty', 1999)",actor
Sam Mendes,"('American Beauty', 1999)",director
Robin Williams,"('Good Will Hunting', 1997)",actor
Matt Damon,"('Good Will Hunting', 1997)",actor
Ben Affleck,"('Good Will Hunting', 1997)",actor
Stellan Skarsgard,"('Good Will Hunting', 1997)",actor
Gus Van Sant,"('Good Will Hunting', 1997)",director
Al Pacino,"('Scarface', 1983)",actor
Michelle Pfeiffer,"('Scarface', 1983)",actor
Steven Bauer,"('Scarface', 1983)",actor
Mary Elizabeth Mastrantonio,"('Scarface', 1983)",actor
Brian De Palma,"('Scarface', 1983)",director
Jim Carrey,"('Eternal Sunshine of the Spotless Mind', 2004)",actor
Kate Winslet,"('Eternal Sunshine of the Spotless Mind', 2004)",actor
Tom Wilkinson,"('Eternal Sunshine of the Spotless Mind', 2004)",actor
Gerry Robert Byrne,"('Eternal Sunshine of the Spotless Mind', 2004)",actor
Michel Gondry,"('Eternal Sunshine of the Spotless Mind', 2004)",director
Matthew Modine,"('Full Metal Jacket', 1987)",actor
R. Lee Ermey,"('Full Metal Jacket', 1987)",actor
Vincent D'Onofrio,"('Full Metal Jacket', 1987)",actor
Adam Baldwin,"('Full Metal Jacket', 1987)",actor
Stanley Kubrick,"('Full Metal Jacket', 1987)",director
Mel Gibson,"('Braveheart', 1995)",actor
Sophie Marceau,"('Braveheart', 1995)",actor
Patrick Mcgoohan,"('Braveheart', 1995)",actor
Angus Macfadyen,"('Braveheart', 1995)",actor
Mel Gibson,"('Braveheart', 1995)",director
Mads Mikkelsen,"('The Hunt', 2012)",actor
Thomas Bo Larsen,"('The Hunt', 2012)",actor
Annika Wedderkopp,"('The Hunt', 2012)",actor
Lasse Fogelstrøm,"('The Hunt', 2012)",actor
Thomas Vinterberg,"('The Hunt', 2012)",director
Lin-Manuel Miranda,"('Hamilton', 2020)",actor
Phillipa Soo,"('Hamilton', 2020)",actor
Leslie Odom Jr.,"('Hamilton', 2020)",actor
Renee Elise Goldsberry,"('Hamilton', 2020)",actor
Thomas Kail,"('Hamilton', 2020)",director
Robert De Niro,"('Once Upon a Time in America', 1984)",actor
James Woods,"('Once Upon a Time in America', 1984)",actor
Elizabeth Mcgovern,"('Once Upon a Time in America', 1984)",actor
Treat Williams,"('Once Upon a Time in America', 1984)",actor
Sergio Leone,"('Once Upon a Time in America', 1984)",director
Harvey Keitel,"('Reservoir Dogs', 1992)",actor
Tim Roth,"('Reservoir Dogs', 1992)",actor
Michael Madsen,"('Reservoir Dogs', 1992)",actor
Chris Penn,"('Reservoir Dogs', 1992)",actor
Quentin Tarantino,"('Reservoir Dogs', 1992)",director
Tom Hanks,"('Toy Story', 1995)",actor
Tim Allen,"('Toy Story', 1995)",actor
Don Rickles,"('Toy Story', 1995)",actor
Jim Varney,"('Toy Story', 1995)",actor
John Lasseter,"('Toy Story', 1995)",director
Edward Asner,"('Up', 2009)",actor
Jordan Nagai,"('Up', 2009)",actor
John Ratzenberger,"('Up', 2009)",actor
Christopher Plummer,"('Up', 2009)",actor
Pete Docter,"('Up', 2009)",director
Bob Peterson,"('Up', 2009)",director
Mark Hamill,"('Star Wars: Episode VI - Return of the Jedi', 1983)",actor
Harrison Ford,"('Star Wars: Episode VI - Return of the Jedi', 1983)",actor
Carrie Fisher,"('Star Wars: Episode VI - Return of the Jedi', 1983)",actor
Billy Dee Williams,"('Star Wars: Episode VI - Return of the Jedi', 1983)",actor
Richard Marquand,"('Star Wars: Episode VI - Return of the Jedi', 1983)",director
Lubna Azabal,"('Incendies', 2010)",actor
Melissa Desormeaux-Poulin,"('Incendies', 2010)",actor
Maxim Gaudette,"('Incendies', 2010)",actor
Mustafa Kamel,"('Incendies', 2010)",actor
Denis Villeneuve,"('Incendies', 2010)",director
Audrey Tautou,"('Amélie', 2001)",actor
Mathieu Kassovitz,"('Amélie', 2001)",actor
Rufus,"('Amélie', 2001)",actor
Lorella Cravotta,"('Amélie', 2001)",actor
Jean-Pierre Jeunet,"('Amélie', 2001)",director
Yoji Matsuda,"('Princess Mononoke', 1997)",actor
Yuriko Ishida,"('Princess Mononoke', 1997)",actor
Yuko Tanaka,"('Princess Mononoke', 1997)",actor
Billy Crudup,"('Princess Mononoke', 1997)",actor
Hayao Miyazaki,"('Princess Mononoke', 1997)",director
Tom Hanks,"('Toy Story 3', 2010)",actor
Tim Allen,"('Toy Story 3', 2010)",actor
Joan Cusack,"('Toy Story 3', 2010)",actor
Ned Beatty,"('Toy Story 3', 2010)",actor
Lee Unkrich,"('Toy Story 3', 2010)",director
Kamal Haasan,"('Vikram', 2022)",actor
Vijay Sethupathi,"('Vikram', 2022)",actor
Fahadh Faasil,"('Vikram', 2022)",actor
Narain,"('Vikram', 2022)",actor
Lokesh Kanagaraj,"('Vikram', 2022)",director
Aamir Khan,"('Dangal', 2016)",actor
Sakshi Tanwar,"('Dangal', 2016)",actor
Fatima Sana Shaikh,"('Dangal', 2016)",actor
Sanya Malhotra,"('Dangal', 2016)",actor
Nitesh Tiwari,"('Dangal', 2016)",director
Payman Maadi,"('A Separation', 2011)",actor
Leila Hatami,"('A Separation', 2011)",actor
Sareh Bayat,"('A Separation', 2011)",actor
Shahab Hosseini,"('A Separation', 2011)",actor
Asghar Farhadi,"('A Separation', 2011)",director
Darsheel Safary,"('Like Stars on Earth', 2007)",actor
Aamir Khan,"('Like Stars on Earth', 2007)",actor
Tanay Chheda,"('Like Stars on Earth', 2007)",actor
Sachet Engineer,"('Like Stars on Earth', 2007)",actor
Aamir Khan,"('Like Stars on Earth', 2007)",director
Amole Gupte,"('Like Stars on Earth', 2007)",director
Yash,"('K.G.F: Chapter 2', 2022)",actor
Sanjay Dutt,"('K.G.F: Chapter 2', 2022)",actor
Raveena Tandon,"('K.G.F: Chapter 2', 2022)",actor
Srinidhi Shetty,"('K.G.F: Chapter 2', 2022)",actor
Prashanth Neel,"('K.G.F: Chapter 2', 2022)",director
Sushant Singh Rajput,"('Chhichhore', 2019)",actor
Shraddha Kapoor,"('Chhichhore', 2019)",actor
Varun Sharma,"('Chhichhore', 2019)",actor
Prateik Patil Babbar,"('Chhichhore', 2019)",actor
Nitesh Tiwari,"('Chhichhore', 2019)",director
Rishab Shetty,"('Kantara', 2022)",actor
Kishore Kumar G.,"('Kantara', 2022)",actor
Achyuth Kumar,"('Kantara', 2022)",actor
Sapthami Gowda,"('Kantara', 2022)",actor
Rishab Shetty,"('Kantara', 2022)",director
You Ge,"('To Live', 1994)",actor
Gong Li,"('To Live', 1994)",actor
Ben Niu,"('To Live', 1994)",actor
Wu Jiang,"('To Live', 1994)",actor
Yimou Zhang,"('To Live', 1994)",director
Sidharth Malhotra,"('Shershaah', 2021)",actor
Kiara Advani,"('Shershaah', 2021)",actor
Shiv Panditt,"('Shershaah', 2021)",actor
Pranay Pachauri,"('Shershaah', 2021)",actor
Vishnuvardhan,"('Shershaah', 2021)",director
J.D. Chakravarthi,"('Satya', 1998)",actor
Manoj Bajpayee,"('Satya', 1998)",actor
Urmila Matondkar,"('Satya', 1998)",actor
Paresh Rawal,"('Satya', 1998)",actor
Ram Gopal Varma,"('Satya', 1998)",director
Silambarasan Rajendar,"('Maanaadu', 2021)",actor
S.J. Suryah,"('Maanaadu', 2021)",actor
Kalyani Priyadarshan,"('Maanaadu', 2021)",actor
S.A. Chandrashekhar,"('Maanaadu', 2021)",actor
Venkat Prabhu,"('Maanaadu', 2021)",director
Cetin Tekindor,"('Ayla: The Daughter of War', 2017)",actor
Ismail Hacioglu,"('Ayla: The Daughter of War', 2017)",actor
Kyung-Jin Lee,"('Ayla: The Daughter of War', 2017)",actor
Kim Seol,"('Ayla: The Daughter of War', 2017)",actor
Can Ulkay,"('Ayla: The Daughter of War', 2017)",director
Vishnu Vishal,"('Raatchasan', 2018)",actor
Amala Paul,"('Raatchasan', 2018)",actor
Radha Ravi,"('Raatchasan', 2018)",actor
Sangili Murugan,"('Raatchasan', 2018)",actor
Ram Kumar,"('Raatchasan', 2018)",director
Prithviraj Sukumaran,"('Jana Gana Mana', 2022)",actor
Suraj Venjaramoodu,"('Jana Gana Mana', 2022)",actor
Mamta Mohandas,"('Jana Gana Mana', 2022)",actor
Mammootty,"('Jana Gana Mana', 2022)",actor
Dijo Jose Antony,"('Jana Gana Mana', 2022)",director
Vijay Sethupathi,"('Super Deluxe', 2019)",actor
Fahadh Faasil,"('Super Deluxe', 2019)",actor
Samantha Ruth Prabhu,"('Super Deluxe', 2019)",actor
Ramya Krishnan,"('Super Deluxe', 2019)",actor
Thiagarajan Kumararaja,"('Super Deluxe', 2019)",director
Naseeruddin Shah,"('Jaane Bhi Do Yaaro', 1983)",actor
Ravi Baswani,"('Jaane Bhi Do Yaaro', 1983)",actor
Bhakti Barve,"('Jaane Bhi Do Yaaro', 1983)",actor
Satish Shah,"('Jaane Bhi Do Yaaro', 1983)",actor
Kundan Shah,"('Jaane Bhi Do Yaaro', 1983)",director
Dulquer Salmaan,"('Bangalore Days', 2014)",actor
Nivin Pauly,"('Bangalore Days', 2014)",actor
Nazriya Nazim,"('Bangalore Days', 2014)",actor
Fahadh Faasil,"('Bangalore Days', 2014)",actor
Anjali Menon,"('Bangalore Days', 2014)",director
Naveen Polishetty,"('Agent Sai Srinivasa Athreya', 2019)",actor
Shruti Sharma,"('Agent Sai Srinivasa Athreya', 2019)",actor
Krishneswara Rao,"('Agent Sai Srinivasa Athreya', 2019)",actor
Suhas,"('Agent Sai Srinivasa Athreya', 2019)",actor
Swaroop Rsj,"('Agent Sai Srinivasa Athreya', 2019)",director
Mohanlal,"('Drishyam', 2013)",actor
Meena,"('Drishyam', 2013)",actor
Asha Sharath,"('Drishyam', 2013)",actor
Ansiba,"('Drishyam', 2013)",actor
Jeethu Joseph,"('Drishyam', 2013)",director
Anupam Kher,"('Khosla Ka Ghosla!', 2006)",actor
Boman Irani,"('Khosla Ka Ghosla!', 2006)",actor
Parvin Dabas,"('Khosla Ka Ghosla!', 2006)",actor
Tara Sharma,"('Khosla Ka Ghosla!', 2006)",actor
Dibakar Banerjee,"('Khosla Ka Ghosla!', 2006)",director
Pravin E. Birje,"('Khosla Ka Ghosla!', 2006)",director
Rajinikanth,"('Baasha', 1995)",actor
Nagma,"('Baasha', 1995)",actor
Raghuvaran,"('Baasha', 1995)",actor
Vijayakumar,"('Baasha', 1995)",actor
Suresh Krishna,"('Baasha', 1995)",director
Vikram,"('Anniyan', 2005)",actor
Sada,"('Anniyan', 2005)",actor
Prakash Raj,"('Anniyan', 2005)",actor
Vivek,"('Anniyan', 2005)",actor
S. Shankar,"('Anniyan', 2005)",director
Miklos Benedek,"('Cat City', 1986)",actor
Gyula Bodrogi,"('Cat City', 1986)",actor
Ilona Beres,"('Cat City', 1986)",actor
Peter Haumann,"('Cat City', 1986)",actor
Bela Ternovszky,"('Cat City', 1986)",director
Nivin Pauly,"('Premam', 2015)",actor
Sai Pallavi,"('Premam', 2015)",actor
Madonna Sebastian,"('Premam', 2015)",actor
S.V. Krishna Shankar,"('Premam', 2015)",actor
Alphonse Puthren,"('Premam', 2015)",director
Shreyas Talpade,"('Kaun Pravin Tambe?', 2022)",actor
Gaurav Kamble,"('Kaun Pravin Tambe?', 2022)",actor
Arif Zakaria,"('Kaun Pravin Tambe?', 2022)",actor
Asif Ali,"('Kaun Pravin Tambe?', 2022)",actor
Jayprad Desai,"('Kaun Pravin Tambe?', 2022)",director
Sathish Neenasam,"('Lucia', 2013)",actor
Sruthi Hariharan,"('Lucia', 2013)",actor
Achyuth Kumar,"('Lucia', 2013)",actor
Sabreen Baker,"('Lucia', 2013)",actor
Pawan Kumar,"('Lucia', 2013)",director
Vijay Sethupathi,"('Soodhu Kavvum', 2013)",actor
Sanchita Shetty,"('Soodhu Kavvum', 2013)",actor
Radha Ravi,"('Soodhu Kavvum', 2013)",actor
M.S. Bhaskar,"('Soodhu Kavvum', 2013)",actor
Nalan Kumarasamy,"('Soodhu Kavvum', 2013)",director
Rinku Rajguru,"('Sairat', 2016)",actor
Akash Thosar,"('Sairat', 2016)",actor
Arbaz Shaikh,"('Sairat', 2016)",actor
Tanaji Galgunde,"('Sairat', 2016)",actor
Nagraj Manjule,"('Sairat', 2016)",director
Leonardo Dicaprio,"('The Wolf of Wall Street', 2013)",actor
Jonah Hill,"('The Wolf of Wall Street', 2013)",actor
Margot Robbie,"('The Wolf of Wall Street', 2013)",actor
Matthew Mcconaughey,"('The Wolf of Wall Street', 2013)",actor
Martin Scorsese,"('The Wolf of Wall Street', 2013)",director
Nivedita Bhattacharya,"('The Vaccine War', 2023)",actor
Anupam Kher,"('The Vaccine War', 2023)",actor
Nana Patekar,"('The Vaccine War', 2023)",actor
Girija Oak,"('The Vaccine War', 2023)",actor
Vivek Agnihotri,"('The Vaccine War', 2023)",director
Tommy Lee Jones,"('No Country for Old Men', 2007)",actor
Javier Bardem,"('No Country for Old Men', 2007)",actor
Josh Brolin,"('No Country for Old Men', 2007)",actor
Woody Harrelson,"('No Country for Old Men', 2007)",actor
Ethan Coen,"('No Country for Old Men', 2007)",director
Joel Coen,"('No Country for Old Men', 2007)",director
Tom Holland,"('Spider-Man: No Way Home', 2021)",actor
Zendaya,"('Spider-Man: No Way Home', 2021)",actor
Benedict Cumberbatch,"('Spider-Man: No Way Home', 2021)",actor
Jacob Batalon,"('Spider-Man: No Way Home', 2021)",actor
Jon Watts,"('Spider-Man: No Way Home', 2021)",director
Leonardo Dicaprio,"('Shutter Island', 2010)",actor
Emily Mortimer,"('Shutter Island', 2010)",actor
Mark Ruffalo,"('Shutter Island', 2010)",actor
Ben Kingsley,"('Shutter Island', 2010)",actor
Martin Scorsese,"('Shutter Island', 2010)",director
Sam Neill,"('Jurassic Park', 1993)",actor
Laura Dern,"('Jurassic Park', 1993)",actor
Jeff Goldblum,"('Jurassic Park', 1993)",actor
Richard Attenborough,"('Jurassic Park', 1993)",actor
Steven Spielberg,"('Jurassic Park', 1993)",director
Chieko Baisho,"(""Howl's Moving Castle"", 2004)",actor
Takuya Kimura,"(""Howl's Moving Castle"", 2004)",actor
Tatsuya Gashuin,"(""Howl's Moving Castle"", 2004)",actor
Akihiro Miwa,"(""Howl's Moving Castle"", 2004)",actor
Hayao Miyazaki,"(""Howl's Moving Castle"", 2004)",director
Daniel Day-Lewis,"('There Will Be Blood', 2007)",actor
Paul Dano,"('There Will Be Blood', 2007)",actor
Ciaran Hinds,"('There Will Be Blood', 2007)",actor
Martin Stringer,"('There Will Be Blood', 2007)",actor
Paul Thomas Anderson,"('There Will Be Blood', 2007)",director
Christian Bale,"('Batman Begins', 2005)",actor
Michael Caine,"('Batman Begins', 2005)",actor
Ken Watanabe,"('Batman Begins', 2005)",actor
Liam Neeson,"('Batman Begins', 2005)",actor
Christopher Nolan,"('Batman Begins', 2005)",director
Kurt Russell,"('The Thing', 1982)",actor
Wilford Brimley,"('The Thing', 1982)",actor
Keith David,"('The Thing', 1982)",actor
Richard Masur,"('The Thing', 1982)",actor
John Carpenter,"('The Thing', 1982)",director
Jim Carrey,"('The Truman Show', 1998)",actor
Ed Harris,"('The Truman Show', 1998)",actor
Laura Linney,"('The Truman Show', 1998)",actor
Noah Emmerich,"('The Truman Show', 1998)",actor
Peter Weir,"('The Truman Show', 1998)",director
Jason Statham,"('Snatch', 2000)",actor
Brad Pitt,"('Snatch', 2000)",actor
Stephen Graham,"('Snatch', 2000)",actor
Vinnie Jones,"('Snatch', 2000)",actor
Guy Ritchie,"('Snatch', 2000)",director
Uma Thurman,"('Kill Bill: Vol. 1', 2003)",actor
David Carradine,"('Kill Bill: Vol. 1', 2003)",actor
Daryl Hannah,"('Kill Bill: Vol. 1', 2003)",actor
Michael Madsen,"('Kill Bill: Vol. 1', 2003)",actor
Quentin Tarantino,"('Kill Bill: Vol. 1', 2003)",director
Robert De Niro,"('Casino', 1995)",actor
Sharon Stone,"('Casino', 1995)",actor
Joe Pesci,"('Casino', 1995)",actor
James Woods,"('Casino', 1995)",actor
Martin Scorsese,"('Casino', 1995)",director
Bruce Willis,"('The Sixth Sense', 1999)",actor
Haley Joel Osment,"('The Sixth Sense', 1999)",actor
Toni Collette,"('The Sixth Sense', 1999)",actor
Olivia Williams,"('The Sixth Sense', 1999)",actor
M. Night Shyamalan,"('The Sixth Sense', 1999)",director
Hugo Weaving,"('V for Vendetta', 2005)",actor
Natalie Portman,"('V for Vendetta', 2005)",actor
Rupert Graves,"('V for Vendetta', 2005)",actor
Stephen Rea,"('V for Vendetta', 2005)",actor
James Mcteigue,"('V for Vendetta', 2005)",director
Viggo Mortensen,"('Green Book', 2018)",actor
Mahershala Ali,"('Green Book', 2018)",actor
Linda Cardellini,"('Green Book', 2018)",actor
Sebastian Maniscalco,"('Green Book', 2018)",actor
Peter Farrelly,"('Green Book', 2018)",director
Dean-Charles Chapman,"('1917', 2019)",actor
George Mackay,"('1917', 2019)",actor
Daniel Mays,"('1917', 2019)",actor
Colin Firth,"('1917', 2019)",actor
Sam Mendes,"('1917', 2019)",director
Bruce Willis,"('Die Hard', 1988)",actor
Alan Rickman,"('Die Hard', 1988)",actor
Bonnie Bedelia,"('Die Hard', 1988)",actor
Reginald Veljohnson,"('Die Hard', 1988)",actor
John Mctiernan,"('Die Hard', 1988)",director
Albert Brooks,"('Finding Nemo', 2003)",actor
Ellen Degeneres,"('Finding Nemo', 2003)",actor
Alexander Gould,"('Finding Nemo', 2003)",actor
Willem Dafoe,"('Finding Nemo', 2003)",actor
Andrew Stanton,"('Finding Nemo', 2003)",director
Lee Unkrich,"('Finding Nemo', 2003)",director
Harrison Ford,"('Indiana Jones and the Last Crusade', 1989)",actor
Sean Connery,"('Indiana Jones and the Last Crusade', 1989)",actor
Alison Doody,"('Indiana Jones and the Last Crusade', 1989)",actor
Denholm Elliott,"('Indiana Jones and the Last Crusade', 1989)",actor
Steven Spielberg,"('Indiana Jones and the Last Crusade', 1989)",director
Russell Crowe,"('A Beautiful Mind', 2001)",actor
Ed Harris,"('A Beautiful Mind', 2001)",actor
Jennifer Connelly,"('A Beautiful Mind', 2001)",actor
Christopher Plummer,"('A Beautiful Mind', 2001)",actor
Ron Howard,"('A Beautiful Mind', 2001)",director
Ivana Baquero,"(""Pan's Labyrinth"", 2006)",actor
Ariadna Gil,"(""Pan's Labyrinth"", 2006)",actor
Sergi Lopez,"(""Pan's Labyrinth"", 2006)",actor
Maribel Verdu,"(""Pan's Labyrinth"", 2006)",actor
Guillermo Del Toro,"(""Pan's Labyrinth"", 2006)",director
Kevin Spacey,"('L.A. Confidential', 1997)",actor
Russell Crowe,"('L.A. Confidential', 1997)",actor
Guy Pearce,"('L.A. Confidential', 1997)",actor
Kim Basinger,"('L.A. Confidential', 1997)",actor
Curtis Hanson,"('L.A. Confidential', 1997)",director
Bruno Ganz,"('Downfall', 2004)",actor
Alexandra Maria Lara,"('Downfall', 2004)",actor
Ulrich Matthes,"('Downfall', 2004)",actor
Juliane Kohler,"('Downfall', 2004)",actor
Oliver Hirschbiegel,"('Downfall', 2004)",director
Anthony Hopkins,"('The Father', 2020)",actor
Olivia Colman,"('The Father', 2020)",actor
Mark Gatiss,"('The Father', 2020)",actor
Olivia Williams,"('The Father', 2020)",actor
Florian Zeller,"('The Father', 2020)",director
Clint Eastwood,"('Unforgiven', 1992)",actor
Gene Hackman,"('Unforgiven', 1992)",actor
